SMILES,human_VDss_L_kg
CN(C)CCN(Cc1cccs1)c1ccccn1,0.5185139398910479
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.079181246083816
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-0.1487416512197565
CCC(C(N)=O)N1CCCC1=O,-0.2218487495439739
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,-0.3665315443194147
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0.0413926851977064
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.6901960800373769
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,-0.1938200259482543
NC(C(=O)O)C1CC(Cl)=NO1,-0.3010299955771223
CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC,0.1643528558141833
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1.345373730561049
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0.0211892991112994
C[n+]1ccn(C[C@@]2(C)C(C(=O)[O-])N3C(=O)C[C@H]3S2(=O)=O)n1,-0.410480009881965
CN(C(=O)Cc1cccc2sccc12)[C@@H]1CCCC[C@H]1N1CCCC1,0.0413926851977064
C[C@@](O)(/C=C/[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)/C=C\C=C/C=C/CO)OP(=O)(O)O,-1.0655015482514387
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.079181246083816
CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],-0.0655015487059329
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,-1.0969100124651885
CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,-0.7447274946554192
CCC[C@H](Nc1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1,0.5327543790052337
NCCC(O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,-0.7958800170726411
NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1,-0.5376020019512873
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,0.4149733479875216
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.3617278360364752
O=S(=O)(O)CCS,-0.1870866432903298
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.7853298350178866
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,0.3283796034591271
O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-0.8239087406547891
CN1CCN(c2ncc(-c3cc(Cl)cc(Cl)c3Cl)c(N)n2)CC1,1.1849751907010977
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-1.0969100124651885
C[C@H]1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,0.3838153659983773
Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,-0.9586073144469618
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.2041199826830682
CN=C(NC#N)NCCSCc1[nH]cnc1C,0.079181246083816
COc1cccc2c(C(=O)N3CCN(C)C(C)C3)cn(CC3CCCCC3)c12,4.342945178152237e-11
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,-0.6020599911542446
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-0.8860566473590905
O=C(O)CCCC[C@H]1CCSS1,-0.9586073144469618
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-0.9208187535904632
CN(C)C(=O)Oc1ccc[n+](C)c1,0.0413926851977064
O[C@](CO[C@@H]1CN2CCC1CC2)(c1ccccc1)C1CCCC1,0.326335860949237
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C\CNC(=O)/C=C/[C@@H](C)[C@H](C(C)C)OC(=O)C12,-0.4089353928621432
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,-1.0798504216074738
CC(C)C1C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)N1C,-0.5850266518621456
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,0.113943352340244
O=C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1O,0.113943352340244
C=CCNc1c(O)cc2c(O)c1C=C(C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)N2,0.3010299956856959
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-0.9208187535904632
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-0.0087739242631893
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-0.2676062400966065
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.2552725051274335
COc1ccc(CCN(C)CCCN2Cc3cc(OC)c(OC)cc3C2=O)cc1OC,0.3802112417297016
Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.743509764736269
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.4471580313437702
NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,0.4800069429715312
CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,0.7075701761064519
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3C(N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O,0.2041199826830682
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,0.079181246083816
CN(C)CCC1=C(Cc2cccnn2)c2ccc(F)cc2C1,0.0453229788257831
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,-0.6020599911542446
NNc1cc2c(nn1)CCN(C(=O)c1ccccc1)C2,0.3424226808419469
