SMILES,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,dog_VDss_L_kg,dog_CL_mL_min_kg,dog_fup,monkey_VDss_L_kg,monkey_CL_mL_min_kg,monkey_fup,rat_VDss_L_kg,rat_CL_mL_min_kg,rat_fup,mouse_VDss_L_kg,mouse_CL_mL_min_kg,mouse_fup
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-0.0340171403894253,0.6212144308572567,-0.4814860599905081,0.5641996343708593,1.1760912590585766,,,,,,,,,,,,
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.079181246051244,0.9493900066497926,-2.124938730817707,1.3483048630501082,1.7050079593341927,1.6514683498535767,1.4975542288737516,,1.3706546044522825,1.2018175948980088,,0.8976270912959389,1.6198624021442751,,,,
C#CCN(C)C(C)Cc1ccccc1,0.2787536009756865,1.3010299956661526,-0.8860566473590905,0.2041199826830682,0.113943352340244,,,,,,,,,,,,
C#CCN(Cc1cc2c(=O)[nH]c(C)nc2cc1C)c1ccc(C(=O)NC(CCc2nn[nH]n2)C(=O)O)c(F)c1,-0.2757241303172685,-0.5376020019512873,-1.999999995657055,1.482587769528197,1.8948696567458057,,,,,,,,,,,,
C#C[C@@]1(O)[C@@H](CO)O[C@H](n2ccc(N)nc2=O)[C@@H]1O,0.0413926851977064,0.2041199826830682,,1.0681858617498736,1.037426497944608,,,,,,,,,,,,
C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,-0.337242168224014,-0.0969100129537695,-1.665031782714014,0.9822712330440924,1.000000000004343,,,,,,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,0.4578818967491245,0.3010299956856959,-1.6989700021645464,1.3729120029719468,1.3979400086737748,,,,,,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,0.1760912590846342,0.2552725051274335,-1.525744510197357,1.14612803568134,0.9731278536043187,,,,,,,-0.1307682802103353,0.113943352340244,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.714329759753617,1.1961761850427377,,0.7395723444580026,0.3636119799109449,,,,,,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.6334684555896863,0.8450980400204611,-1.7992997268518027,1.041392685162173,0.986771734270722,1.2304489213808285,1.3979400086737748,,0.8177418734140911,1.3933757110746612,-2.004364801015637,0.7558748556801106,1.7732713317397997,-2.055517322914667,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,0.3617278360364752,0.6720978579449578,-1.961922586949873,0.9138138523890128,0.924279286067052,,,,1.3222192947359872,1.5910646070276129,,,,,,,
C#C[C@]1(OS(=O)(=O)O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-0.2146701649180371,0.113943352340244,,0.8920946026960482,0.968482948558605,,,,0.9395192526236104,1.1139433523101776,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,-0.2518119729162469,1.0788191831024707,,-0.1079053972538408,0.6998377258759143,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-0.1135092747711162,0.2278867046393714,-1.2108824002196374,0.8779469516349405,0.812913356649537,,,,,,,,,,,,
C/C(=C\[C@H](C(C)C)N(C)C(=O)C(NC(=O)C1CCCCN1C(C)C)C(C)(C)C)C(=O)O,0.1003705451520307,-0.0132282656889825,,1.332438459917625,1.243038048688776,,,,,,,,,,,,
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,1.114239664195926,1.000000000004343,-0.6259059863107735,1.2552725051057187,1.4732261325082314,,,,,,,,,,,,
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,1.1583624920982656,0.336459733868543,-0.6575773189803872,2.043755126969072,1.9652017010263825,,,,,,,,,,,,
C/C=C/c1cc(OC)c(OC)cc1OC,4.342945178152237e-11,0.9444826721551038,,0.2787536009756865,0.5682017240787327,,,,,,,,,,,,
C1COC(=NC(C2CC2)C2CC2)N1,0.6532125137849947,0.8512583487251921,-0.0457574905124201,1.0253058652688674,0.9190780923813064,,,,,,,,,,,,
C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCN=C(N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,-0.4436974991120754,0.7118072290496239,,0.079181246083816,0.9190780923813064,,,,,,,,,,,,
